CRN,Subj,Num,Sec,Title,Hours,Faculty,Days,Beg,End,Days 2,Beg 2,End 2,Location,Limit,Enr,Av Seats,Additional Info,General Education
,,,,,,,,,,,,,,,,,,
American Studies,,,,,,,,,,,,,,,,,,
15930,BUSI,216,A,Fundamentals of Managerial Accounting,4,C Heinemann,MW,1530,1645,,,,Walsh-Ellett Hall 306,25,14,Available: 11,Prerequisites: ACCT 215 or BUSI 215; Consent of professor required for late entry,
15931,BUSI,217,A,Marketing Strategy,4,G Miller,MW,1400,1515,,,,Woods Laboratories 121,25,14,Available: 11,Prerequisites: (BUSI 215 or ECON 360); Pre- or Corequisites: (PSYC 100 or PSYC 101 or ANTH 104); Consent of professor required for late entry,
,,,,,,,,,,,,,,,,,,
Chemistry,,,,,,,,,,,,,,,,,,
15700,CHEM,100,A,Foundations of Chemistry,4,B Seballos,MWF,900,950,,,,Woods Laboratories 216,50,22,Available: 28,Non-Lab Science; Reserved Seats: new first-year students-7 (none available); Consent of professor required for late entry,G5: Observing-Experimenting-Modeling
15701,CHEM,120,A,General Chemistry (Lab),4,L Seballos/D Miles,MWF,800,850,M,1300,1600,Woods Laboratories 216,20,16,Available: 4,"Lab Science; Reserved Seats: new first-year students-6 (none available); Prerequisites: One course with attribute G5, G5E, or G5Q or placement; Consent of professor required for late entry",G5E: Observing-Experimenting-Modeling (Experimental/Experiential)
16029,CHEM,120,B,General Chemistry (Lab),4,L Seballos,MWF,800,850,T,1330,1630,Woods Laboratories 216,20,6,Available: 14,"Lab Science; Prerequisites: One course with attribute G5, G5E, or G5Q or placement; Consent of professor required for late entry",G5E: Observing-Experimenting-Modeling (Experimental/Experiential)
15702,CHEM,201,A,Organic Chemistry I (Lab),4,E Joslin/R Pongdee,MWF,1100,1150,M,1300,1630,Woods Laboratories BLACKMAN,20,20,Closed // Waitlist: 1,Lab Science; Prerequisites: CHEM 102 or CHEM 111 or CHEM 120 or CHEM 150; Consent of professor required for late entry,
15703,CHEM,201,B,Organic Chemistry I (Lab),4,E Joslin,MWF,1100,1150,W,1300,1630,Woods Laboratories BLACKMAN,20,19,Available: 1,Lab Science; Prerequisites: CHEM 102 or CHEM 111 or CHEM 120 or CHEM 150; Consent of professor required for late entry,
15704,CHEM,201,C,Organic Chemistry I (Lab),4,E Joslin/R Pongdee,MWF,1100,1150,R,1330,1700,Woods Laboratories BLACKMAN,20,17,Available: 3,Lab Science; Prerequisites: CHEM 102 or CHEM 111 or CHEM 120 or CHEM 150; Consent of professor required for late entry,
16017,CHEM,201,D,Organic Chemistry I (Lab),4,E Joslin/R Summers,MWF,1100,1150,T,1330,1700,Woods Laboratories BLACKMAN,16,14,Available: 2,Lab Science; Prerequisites: CHEM 102 or CHEM 111 or CHEM 120 or CHEM 150; Consent of professor required for late entry,
15705,CHEM,210,A,Solution and Solid State Chemistry (Lab),4,R Bachman and others,MWF,1000,1050,W,1300,1630,Woods Laboratories 216,14,13,Available: 1,Lab Science; Prerequisites: CHEM 120 or CHEM 150; Consent of professor required for late entry,
15706,CHEM,210,B,Solution and Solid State Chemistry (Lab),4,R Bachman and others,MWF,1000,1050,R,1330,1700,Woods Laboratories 216,14,12,Available: 2,Prerequisites: CHEM 120 or CHEM 150; Consent of professor required for late entry,
15707,CHEM,301,A,Junior Seminar,2,B Seballos,F,1330,1500,,,,Woods Laboratories 216,15,7,Available: 8,Open only to juniors pursuing majors in chemistry; Consent of professor required for late entry,
15708,CHEM,308,A,Inorganic Chemistry (Lab),4,R Bachman/E Joslin,MWF,900,950,M,1300,1700,Spencer Hall 262,16,9,Available: 7,Lab Science; GMWI: Upper-Level (Major) Writing Intensive; Prerequisite: CHEM 201; Consent of professor required for late entry,
15714,CHEM,316,A,Biochemistry of Metabolism and Molecular Biology (Lab),4,E Kikis,MWF,800,850,,,,Spencer Hall 164,16,12,Available: 4,Lab Science; Prerequisites: BIOL 233 and CHEM 202 and BIOL 243; Consent of professor required for late entry,
15920,CHEM,316,L1,Biochemistry of Metabolism and Molecular Biology (Lab),0,C Smith,W,1330,1630,,,,Spencer Hall 272,16,12,Available: 4,Lab Science; Prerequisites: BIOL 233 and CHEM 202,
15709,CHEM,352,A,Thermodynamics and Kinetics (Lab),4,J Shibata/L Seballos,TR,800,915,M,1300,1630,Woods Laboratories 216,12,12,Closed // Waitlist: 1,Lab Science; Prerequisites: CHEM 201 and MATH 102; Pre- or Corequisite: (PHYS 101 or PHYS 103); Consent of professor required for late entry,
15710,CHEM,352,B,Thermodynamics and Kinetics (Lab),4,J Shibata,TR,800,915,R,1330,1700,Woods Laboratories 216,12,12,Closed // Waitlist: 2,Lab Science; Prerequisites: CHEM 201 and MATH 102; Pre- or Corequisite: (PHYS 101 or PHYS 103); Consent of professor required for late entry,
15711,CHEM,401,A,Senior Seminar,2,B Seballos,F,1330,1500,,,,Woods Laboratories 216,15,8,Available: 7,Open only to seniors pursuing majors in chemistry; Consent of professor required for late entry,
15712,CHEM,417,A,Advanced Biochemistry,4,R Summers,TR,930,1045,,,,Spencer Hall 271,19,11,Available: 8,Non-Lab Science; Prerequisites: BIOL 306 or BIOL 307 or CHEM 316 or CHEM 306 or CHEM 307 or CHEM 316; Consent of professor required for late entry,
,,,,,,,,,,,,,,,,,,
Classics,,,,,,,,,,,,,,,,,,
15540,CLST,200,A,Classical Drama,4,D Holmes,MWF,1000,1050,,,,Gailor Hall 132,25,25,Closed // Waitlist: 0,Reserved Seats: new first-year students-10 (none available); Consent of professor required for late entry,"G1: Reading Closely,G6GK: Comprehending Cross-Culturally (Greek Culture),G6LT: Comprehending Cross-Culturally (Latin Culture)"
15541,CLST,350,A,Women and Gender in Classical Antiquity,4,S McCarter,MWF,800,850,,,,Gailor Hall 011,25,24,Available: 1,Reserved Seats: new first-year students-9 (none available); Consent of professor required for late entry,"G4: Exploring Past and Present,G6GK: Comprehending Cross-Culturally (Greek Culture),G6LT: Comprehending Cross-Culturally (Latin Culture)"
15542,GREK,104,A,Elementary Greek II,4,S McCarter,MWF,1200,1250,T,1230,1320,Gailor Hall 019,25,5,Available: 20,Prerequisites: GREK 103 or placement; Consent of professor required for late entry,
15543,GREK,310,A,New Testament,4,P Holloway,T,1330,1615,,,,Gailor Hall 019,25,4,Available: 21,Prerequisites: GREK 203 or higher or placement; Consent of professor required for late entry,"G1: Reading Closely,G6: Comprehending Cross-Culturally (Language)"
15544,LATN,104,A,Elementary Latin II,4,J DiBiasie,MWF,900,950,R,1230,1320,Gailor Hall 128,25,20,Available: 5,Prerequisites: LATN 103 or placement; Consent of professor required for late entry,
15545,LATN,203,A,Intermediate Latin,4,J DiBiasie,MWF,1100,1150,R,1330,1420,Gailor Hall 019,25,7,Available: 18,Prerequisites: LATN 104 or placement; Consent of professor required for late entry,
